Dataset,K,Algorithm,Seed,Fitness,Distance,Infeasibility,Evaluations,Time
data/bupa_set,15,GRASP,1007,0.187122,0.155465,180,100000,16.8894
data/bupa_set,15,GRASP,1008,0.188793,0.157137,180,100000,16.9415
data/bupa_set,15,GRASP,1009,0.186135,0.157292,164,100000,16.8392
data/bupa_set,30,RandomSearch,1000,0.282257,0.234157,558,100000,29.6677
data/bupa_set,30,RandomSearch,1001,0.28343,0.240329,500,100000,29.6226
data/bupa_set,30,RandomSearch,1002,0.282204,0.235482,542,100000,30.1716
data/bupa_set,30,RandomSearch,1003,0.282762,0.234058,565,100000,30.4872
data/bupa_set,30,RandomSearch,1004,0.281497,0.234604,544,100000,29.8969
data/bupa_set,30,RandomSearch,1005,0.281922,0.236321,529,100000,29.7636
data/bupa_set,30,RandomSearch,1006,0.282068,0.228709,619,100000,29.6679
data/bupa_set,30,RandomSearch,1007,0.280649,0.233928,542,100000,29.7933
data/bupa_set,30,RandomSearch,1008,0.281243,0.232798,562,100000,29.8439
data/bupa_set,30,RandomSearch,1009,0.279892,0.232481,550,100000,29.7187
data/bupa_set,30,GreedySearch,1000,0.225273,0.224842,5,1,0.0348244
data/bupa_set,30,GreedySearch,1001,0.220185,0.219581,7,1,0.0448003
data/bupa_set,30,GreedySearch,1002,0.211088,0.210312,9,1,0.0348492
data/bupa_set,30,GreedySearch,1003,0.218092,0.217316,9,1,0.0546084
data/bupa_set,30,GreedySearch,1004,0.210669,0.20998,8,1,0.0396302
data/bupa_set,30,GreedySearch,1005,0.214765,0.213903,10,1,0.0497789
data/bupa_set,30,GreedySearch,1006,0.218633,0.217685,11,1,0.0396622
data/bupa_set,30,GreedySearch,1007,0.217003,0.216227,9,1,0.0347881
data/bupa_set,30,GreedySearch,1008,0.215286,0.214338,11,1,0.0248815
data/bupa_set,30,GreedySearch,1009,0.22098,0.220032,11,1,0.039636
data/bupa_set,30,LocalSearch,1000,0.129858,0.101756,326,97817,28.6818
data/bupa_set,30,LocalSearch,1001,0.128475,0.0988214,344,100000,29.2954
data/bupa_set,30,LocalSearch,1002,0.128311,0.0974505,358,100000,29.3907
data/bupa_set,30,LocalSearch,1003,0.127181,0.0970969,349,100000,29.4503
data/bupa_set,30,LocalSearch,1004,0.127879,0.098484,341,100000,29.237
data/bupa_set,30,LocalSearch,1005,0.128422,0.0992858,338,100000,29.1149
data/bupa_set,30,LocalSearch,1006,0.128485,0.0975384,359,100000,29.2113
data/bupa_set,30,LocalSearch,1007,0.128033,0.0975174,354,100000,29.3603
data/bupa_set,30,LocalSearch,1008,0.127975,0.0984935,342,100000,29.2191
data/bupa_set,30,LocalSearch,1009,0.128606,0.0979177,356,100000,29.3615
data/bupa_set,30,AM-Best,1000,0.139799,0.110922,335,100000,29.4652
data/bupa_set,30,AM-Best,1001,0.140712,0.115197,296,100000,29.5068
data/bupa_set,30,AM-Best,1002,0.1333,0.103991,340,100000,29.3298
data/bupa_set,30,AM-Best,1003,0.136596,0.107632,336,100000,29.0258
data/bupa_set,30,AM-Best,1004,0.141123,0.115003,303,100000,28.9681
data/bupa_set,30,AM-Best,1005,0.14169,0.113674,325,100000,29.216
data/bupa_set,30,AM-Best,1006,0.139885,0.111093,334,100000,28.9928
data/bupa_set,30,AM-Best,1007,0.139237,0.110015,339,100000,29.5287
data/bupa_set,30,AM-Best,1008,0.140429,0.114482,301,100000,28.9892
data/bupa_set,30,AM-Best,1009,0.14121,0.109057,373,100000,29.5687
data/bupa_set,30,SimulatedAnnealing,1000,0.189372,0.132306,662,100000,29.1009
data/bupa_set,30,SimulatedAnnealing,1001,0.185974,0.129511,655,100000,29.0777
data/bupa_set,30,SimulatedAnnealing,1002,0.187792,0.136243,598,100000,29.0138
data/bupa_set,30,SimulatedAnnealing,1003,0.184782,0.132716,604,100000,29.0067
data/bupa_set,30,SimulatedAnnealing,1004,0.187616,0.129343,676,100000,29.0844
data/bupa_set,30,SimulatedAnnealing,1005,0.185625,0.129335,653,100000,29.1471
data/bupa_set,30,SimulatedAnnealing,1006,0.186715,0.132925,624,100000,29.0275
data/bupa_set,30,SimulatedAnnealing,1007,0.183659,0.125214,678,100000,29.0398
data/bupa_set,30,SimulatedAnnealing,1008,0.184667,0.131222,620,100000,29.2153
data/bupa_set,30,SimulatedAnnealing,1009,0.192659,0.134473,675,100000,29.0233
data/bupa_set,30,SimulatedAnnealingFast,1000,0.197316,0.165766,366,100000,0.343716
data/bupa_set,30,SimulatedAnnealingFast,1001,0.196868,0.161439,411,100000,0.343757
data/bupa_set,30,SimulatedAnnealingFast,1002,0.193323,0.160394,382,100000,0.344468
data/bupa_set,30,SimulatedAnnealingFast,1003,0.19589,0.163737,373,100000,0.344273
data/bupa_set,30,SimulatedAnnealingFast,1004,0.197938,0.164492,388,100000,0.344477
data/bupa_set,30,SimulatedAnnealingFast,1005,0.194385,0.156543,439,100000,0.343579
data/bupa_set,30,SimulatedAnnealingFast,1006,0.193983,0.160364,390,100000,0.340862
data/bupa_set,30,SimulatedAnnealingFast,1007,0.197686,0.165188,377,100000,0.34345
data/bupa_set,30,SimulatedAnnealingFast,1008,0.196105,0.159124,429,100000,0.346224
data/bupa_set,30,SimulatedAnnealingFast,1009,0.200058,0.165491,401,100000,0.343274
data/bupa_set,30,BMB,1000,0.139551,0.106708,381,100000,29.4883
data/bupa_set,30,BMB,1001,0.138427,0.104636,392,100000,29.5007
data/bupa_set,30,BMB,1002,0.137951,0.103643,398,100000,29.5144
data/bupa_set,30,BMB,1003,0.139197,0.106612,378,100000,29.5225
data/bupa_set,30,BMB,1004,0.138161,0.101439,426,100000,29.7051
data/bupa_set,30,BMB,1005,0.137985,0.105487,377,100000,29.5965
data/bupa_set,30,BMB,1006,0.137169,0.106223,359,100000,29.7272
data/bupa_set,30,BMB,1007,0.136645,0.101044,413,100000,29.9242
data/bupa_set,30,BMB,1008,0.136635,0.102327,398,100000,29.5679
data/bupa_set,30,BMB,1009,0.137688,0.103639,395,100000,29.4863
data/bupa_set,30,ILS,1000,0.132413,0.101553,358,100000,29.235
data/bupa_set,30,ILS,1001,0.134407,0.101737,379,100000,29.5221
data/bupa_set,30,ILS,1002,0.132266,0.100113,373,100000,29.3647
data/bupa_set,30,ILS,1003,0.133936,0.103162,357,100000,29.4697
